"property_id","fan","light","k_cabinet","wardrobe","sofa","dining_set","bed","mattress","g_stove","i_stove","Microwave","g_cylinder","e_fan","k_chimney","w_purifier","geyser","AC","TV","fridge","wc","inverter","s_table","sd_table","chair"
18,4,7,0,1,1,1,2,2,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
19,5,7,1,3,1,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
20,5,7,1,0,1,1,3,3,1,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0
21,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,5,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,5,9,1,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
24,5,6,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
25,2,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,5,8,1,0,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
28,4,8,1,2,1,1,2,2,1,0,0,1,3,1,1,1,1,1,1,0,0,0,2,0
29,4,7,0,1,1,1,3,3,1,0,0,0,3,0,0,1,2,1,1,0,1,1,0,0
30,0,8,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
31,5,6,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
32,3,6,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
33,4,7,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
34,5,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
36,4,13,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
37,5,8,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
38,4,7,1,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
39,2,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,4,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
41,5,8,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
42,4,6,1,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
43,5,8,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,5,10,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
46,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,8,20,1,3,1,1,3,3,1,0,1,1,2,1,1,2,2,2,1,1,1,0,4,4
48,2,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
49,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50,8,10,1,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
51,5,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
52,3,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
53,4,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,5,10,1,4,0,0,0,0,0,0,0,0,3,0,1,2,2,0,0,0,1,0,0,0
55,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
57,5,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
58,5,10,1,3,1,1,2,2,1,0,0,1,2,1,0,2,2,1,1,1,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,4,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
61,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
63,5,16,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
64,4,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
65,4,8,0,1,1,1,2,2,0,0,0,0,3,0,1,1,1,1,1,1,1,0,2,0
66,6,12,1,2,1,1,3,3,1,0,0,2,3,1,1,2,2,1,1,1,1,0,0,1
67,5,10,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
74,5,10,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0
75,4,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
76,6,29,1,9,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
77,5,8,1,2,0,0,0,0,0,0,0,0,3,0,0,2,3,0,0,0,0,0,0,0
78,4,15,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
79,5,10,1,3,0,0,0,0,0,0,0,0,4,0,0,3,3,0,0,0,0,0,0,0
80,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
81,4,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
82,4,14,1,2,1,0,2,0,0,0,0,0,3,1,0,0,2,0,1,0,0,0,0,0
83,1,5,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2
84,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
85,4,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
86,7,35,1,2,1,1,4,4,1,0,0,1,2,1,1,1,1,1,1,1,0,0,2,2
87,5,9,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
88,2,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
89,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
90,5,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
91,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,5,8,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
96,5,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
97,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
98,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,4,6,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
100,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
101,2,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
102,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
